areaCodenewPeopleVaccinatedFirstDoseByPublishDate,areaName,areaType,date,capacityPillarFour,capacityPillarOneTwo,capacityPillarThree,covidOccupiedMVBeds,hospitalCases,newAdmissions,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,newVirusTests,plannedCapacityByPublishDate
K02000001,United Kingdom,overview,2021-11-27,5042,713833,120000,925,7633,,22304,31679,,
K02000001,United Kingdom,overview,2021-11-26,2400,713793,120000,928,7654,,19933,23149,,
K02000001,United Kingdom,overview,2021-11-25,2400,711633,120000,919,7903,,23579,22823,1048739,838875
K02000001,United Kingdom,overview,2021-11-24,2400,661213,120000,928,8123,,24579,23439,1083684,836193
K02000001,United Kingdom,overview,2021-11-23,2400,656133,120000,913,8029,768,26822,22002,910710,834033
K02000001,United Kingdom,overview,2021-11-22,2400,650473,120000,908,7933,730,23258,18517,979922,783613
K02000001,United Kingdom,overview,2021-11-21,2400,684143,120000,911,8058,748,16424,13892,1013013,778533
K02000001,United Kingdom,overview,2021-11-20,2400,673424,120000,923,8110,724,26013,24193,717721,772873
K02000001,United Kingdom,overview,2021-11-19,2400,666644,120000,935,8211,767,27084,21607,865460,806543
K02000001,United Kingdom,overview,2021-11-18,2400,682424,120000,938,8461,836,28880,20650,993405,795824
K02000001,United Kingdom,overview,2021-11-17,2400,682734,120000,968,8740,857,33092,22120,1043488,789044
K02000001,United Kingdom,overview,2021-11-16,2400,830704,120000,979,8584,892,31431,19874,807598,804824
K02000001,United Kingdom,overview,2021-11-15,2400,830634,120000,974,8500,833,32046,18055,916832,805134
K02000001,United Kingdom,overview,2021-11-14,2400,830674,120000,989,8636,804,22938,17048,918544,953104
K02000001,United Kingdom,overview,2021-11-13,2400,830481,120000,999,8731,772,33527,24325,667791,953034
K02000001,United Kingdom,overview,2021-11-12,2400,826671,120000,1008,8883,881,34338,22048,830535,953074
K02000001,United Kingdom,overview,2021-11-11,2409,826571,120000,1023,8956,956,36383,22485,980626,952881
K02000001,United Kingdom,overview,2021-11-10,2513,861350,120000,1026,9007,977,119188,47766,1024023,949071
K02000001,United Kingdom,overview,2021-11-09,3033,861370,120000,1012,8859,983,39836,21199,851560,948980
K02000001,United Kingdom,overview,2021-11-08,2400,861510,120000,1018,8839,1008,33559,20361,920068,983863
K02000001,United Kingdom,overview,2021-11-07,5451,858270,120000,1026,9085,878,25840,14610,869016,984403
K02000001,United Kingdom,overview,2021-11-06,7078,861609,120000,1034,9286,823,36748,24500,649990,983910
K02000001,United Kingdom,overview,2021-11-05,20919,861219,120000,1019,9433,849,43491,22633,831151,983721
K02000001,United Kingdom,overview,2021-11-04,8126,861339,120000,1024,9650,874,43731,20482,914955,988687
K02000001,United Kingdom,overview,2021-11-03,2789,861299,120000,1030,9667,977,41242,17965,1020990,1002138
K02000001,United Kingdom,overview,2021-11-02,3345,873559,120000,980,9423,1078,46663,20922,868999,989465
K02000001,United Kingdom,overview,2021-11-01,10860,869529,120000,968,9268,1088,37695,19214,905663,984088
K02000001,United Kingdom,overview,2021-10-31,18114,859489,120000,962,9217,1010,27402,13449,950858,996904
K02000001,United Kingdom,overview,2021-10-30,11430,859504,120000,944,9122,900,36052,25401,678413,1000389
K02000001,United Kingdom,overview,2021-10-29,19443,860524,120000,945,9044,1025,40967,22279,847823,997603
K02000001,United Kingdom,overview,2021-10-28,4789,858974,120000,952,8940,1077,44702,23723,875931,990934
K02000001,United Kingdom,overview,2021-10-27,2846,859074,120000,913,8824,1149,44082,21577,916286,999967
K02000001,United Kingdom,overview,2021-10-26,4751,856974,120000,885,8501,1111,41083,23031,802547,983763
K02000001,United Kingdom,overview,2021-10-25,7587,858254,120000,869,8332,1059,37809,21446,820481,981920
K02000001,United Kingdom,overview,2021-10-24,4467,861834,120000,889,8339,971,25747,18082,785553,981725
K02000001,United Kingdom,overview,2021-10-23,6368,862727,120000,892,8356,911,40092,30243,706080,985841
K02000001,United Kingdom,overview,2021-10-22,2400,862727,120000,872,8262,934,46250,26170,912061,986301
K02000001,United Kingdom,overview,2021-10-21,2400,871307,120000,851,8006,979,48732,26828,1011431,989095
K02000001,United Kingdom,overview,2021-10-20,2400,866597,120000,826,7857,1106,49080,26365,1103117,985127
K02000001,United Kingdom,overview,2021-10-19,2400,862157,120000,819,7489,1108,42902,32767,877223,993707
K02000001,United Kingdom,overview,2021-10-18,2400,874027,120000,805,7218,1083,39672,23579,911550,988997
K02000001,United Kingdom,overview,2021-10-17,2400,877617,120000,791,7192,969,17837,17265,980528,984557
K02000001,United Kingdom,overview,2021-10-16,2400,907023,120000,783,7180,884,28999,33483,729043,996427
K02000001,United Kingdom,overview,2021-10-15,2400,906733,120000,781,7122,947,40763,29432,909449,1000017
K02000001,United Kingdom,overview,2021-10-14,2400,821263,120000,780,7108,914,43489,27991,980883,1029423
K02000001,United Kingdom,overview,2021-10-13,2400,831503,120000,747,7080,924,38726,29481,1045158,1029133
K02000001,United Kingdom,overview,2021-10-12,2400,900963,120000,744,6926,939,36847,26946,873498,943663
K02000001,United Kingdom,overview,2021-10-11,2400,885883,120000,768,6754,846,29172,23632,936288,953903
K02000001,United Kingdom,overview,2021-10-10,2400,875813,120000,780,6810,732,22106,19451,968269,1023363
K02000001,United Kingdom,overview,2021-10-09,2400,868549,120000,808,6832,766,31395,33477,709073,1008283
K02000001,United Kingdom,overview,2021-10-08,2400,868329,120000,807,6883,786,31685,29068,917769,998213
K02000001,United Kingdom,overview,2021-10-07,2400,841279,120000,800,6898,820,33029,28656,962225,990949
K02000001,United Kingdom,overview,2021-10-06,2400,863329,120000,769,6822,780,32828,28576,1072740,990729
K02000001,United Kingdom,overview,2021-10-05,2400,845149,120000,778,6632,836,41347,28572,856416,963679
K02000001,United Kingdom,overview,2021-10-04,2400,830619,120000,764,6475,807,37671,29337,940981,985729
K02000001,United Kingdom,overview,2021-10-03,2670,851239,120000,805,6623,718,24123,21532,1022070,967549
K02000001,United Kingdom,overview,2021-10-02,3372,845015,120000,815,6792,697,31066,34391,735038,953019
K02000001,United Kingdom,overview,2021-10-01,7358,830625,120000,813,6936,694,38180,34289,879317,973909
K02000001,United Kingdom,overview,2021-09-30,5561,840695,120000,826,7050,703,34372,34459,1040967,968387
K02000001,United Kingdom,overview,2021-09-29,4640,884915,120000,831,7067,809,31539,34093,1115605,957983
K02000001,United Kingdom,overview,2021-09-28,7141,880945,120000,839,6836,778,31853,33532,861209,966256
K02000001,United Kingdom,overview,2021-09-27,8063,876735,120000,874,6975,783,24919,33177,1010007,1009555
K02000001,United Kingdom,overview,2021-09-26,9042,871585,120000,878,6929,670,15984,25539,1126440,1008086
K02000001,United Kingdom,overview,2021-09-25,10667,864675,120000,916,7180,675,24296,47118,786367,1004798
K02000001,United Kingdom,overview,2021-09-24,12643,873595,120000,939,7430,727,27617,44759,905141,1000627
K02000001,United Kingdom,overview,2021-09-23,7877,875105,120000,943,7637,778,25083,44588,1063394,995342
K02000001,United Kingdom,overview,2021-09-22,2400,875625,120000,982,7810,752,22679,44047,969173,1006238
K02000001,United Kingdom,overview,2021-09-21,10082,840095,120000,1006,7758,803,20384,43406,895328,1002982
K02000001,United Kingdom,overview,2021-09-20,11197,828465,120000,1004,7706,812,20150,46342,984065,998025
K02000001,United Kingdom,overview,2021-09-19,10828,827315,120000,1011,7916,731,13840,35157,1123798,970177
K02000001,United Kingdom,overview,2021-09-18,9598,820440,120000,1020,8123,759,26198,72497,713308,959662
K02000001,United Kingdom,overview,2021-09-17,9155,822630,120000,1081,8406,752,20778,60384,928670,958143
K02000001,United Kingdom,overview,2021-09-16,4933,823180,120000,1060,8400,890,23051,63973,1059522,950038
K02000001,United Kingdom,overview,2021-09-15,5826,799250,120000,1056,8477,949,24402,63290,1084585,951785
K02000001,United Kingdom,overview,2021-09-14,2400,771580,120000,1055,8254,949,17645,66725,882827,948113
K02000001,United Kingdom,overview,2021-09-13,2400,771350,120000,1027,8144,942,19428,60653,1043118,925076
K02000001,United Kingdom,overview,2021-09-12,2400,761870,120000,1056,8316,864,14955,52615,1079196,893980
K02000001,United Kingdom,overview,2021-09-11,2400,762132,120000,1051,8145,850,27913,98059,746405,893750
K02000001,United Kingdom,overview,2021-09-10,2400,756772,120000,1060,8136,921,26064,91811,1066296,884270
K02000001,United Kingdom,overview,2021-09-09,2400,686792,120000,1047,7980,1035,25774,96702,1241334,884532
K02000001,United Kingdom,overview,2021-09-08,2400,687285,120000,1062,8036,1163,25131,87960,1254874,879172
K02000001,United Kingdom,overview,2021-09-07,2400,767415,120000,1018,7750,1104,26624,85848,1169945,809192
K02000001,United Kingdom,overview,2021-09-06,2400,758815,120000,1019,7555,1076,22698,80015,1346631,809685
K02000001,United Kingdom,overview,2021-09-05,2400,748565,120000,1034,7670,879,21795,73193,1038794,889815
K02000001,United Kingdom,overview,2021-09-04,2400,720242,120000,1038,7621,952,41054,128553,757917,881215
K02000001,United Kingdom,overview,2021-09-03,2400,718582,120000,1030,7681,927,35266,110590,1190266,870965
K02000001,United Kingdom,overview,2021-09-02,2400,698152,120000,1014,7677,1001,40002,119375,1155929,842642
K02000001,United Kingdom,overview,2021-09-01,2400,758152,120000,984,7339,1082,44088,113385,1027203,840982
K02000001,United Kingdom,overview,2021-08-31,2400,762152,120000,971,7110,1001,39899,119402,921219,820552
K02000001,United Kingdom,overview,2021-08-30,2400,751792,120000,953,6979,1002,19643,66648,672479,880552
K02000001,United Kingdom,overview,2021-08-29,2400,752152,120000,988,7084,855,24390,79440,707374,884552
K02000001,United Kingdom,overview,2021-08-28,2400,747435,120000,982,7031,862,43271,133688,720342,874192
K02000001,United Kingdom,overview,2021-08-27,2400,747435,120000,974,6986,942,44937,131456,889605,874552
K02000001,United Kingdom,overview,2021-08-26,2400,751251,120000,957,6961,953,55140,144936,948488,869835
K02000001,United Kingdom,overview,2021-08-25,2400,768851,120000,942,7019,1035,68076,161705,923845,869835
K02000001,United Kingdom,overview,2021-08-24,2400,722911,120000,963,6749,999,55410,130676,748739,873651
K02000001,United Kingdom,overview,2021-08-23,2400,722611,120000,955,6531,968,46401,131283,741817,891251
K02000001,United Kingdom,overview,2021-08-22,2400,723731,120000,955,6520,832,40345,116352,679665,845311
