areaCode,areaName,areaType,date,capacityPillarFour,capacityPillarOneTwo,capacityPillarThree,covidOccupiedMVBeds,hospitalCases
K02000001,United Kingdom,overview,2021-11-25,5042,713833,120000,925,7633
K02000001,United Kingdom,overview,2021-11-24,2400,713793,120000,928,7654
K02000001,United Kingdom,overview,2021-11-23,2400,711633,120000,919,7903
K02000001,United Kingdom,overview,2021-11-22,2400,661213,120000,928,8123
K02000001,United Kingdom,overview,2021-11-21,2400,656133,120000,913,8029
K02000001,United Kingdom,overview,2021-11-20,2400,650473,120000,908,7933
K02000001,United Kingdom,overview,2021-11-19,2400,684143,120000,911,8058
K02000001,United Kingdom,overview,2021-11-18,2400,673424,120000,923,8110
K02000001,United Kingdom,overview,2021-11-17,2400,666644,120000,935,8211
K02000001,United Kingdom,overview,2021-11-16,2400,682424,120000,938,8461
K02000001,United Kingdom,overview,2021-11-15,2400,682734,120000,968,8740
K02000001,United Kingdom,overview,2021-11-14,2400,830704,120000,979,8584
K02000001,United Kingdom,overview,2021-11-13,2400,830634,120000,974,8500
K02000001,United Kingdom,overview,2021-11-12,2400,830674,120000,989,8636
K02000001,United Kingdom,overview,2021-11-11,2400,830481,120000,999,8731
K02000001,United Kingdom,overview,2021-11-10,2400,826671,120000,1008,8883
K02000001,United Kingdom,overview,2021-11-09,2409,826571,120000,1023,8956
K02000001,United Kingdom,overview,2021-11-08,2513,861350,120000,1026,9007
K02000001,United Kingdom,overview,2021-11-07,3033,861370,120000,1012,8859
K02000001,United Kingdom,overview,2021-11-06,2400,861510,120000,1018,8839
K02000001,United Kingdom,overview,2021-11-05,5451,858270,120000,1026,9085
K02000001,United Kingdom,overview,2021-11-04,7078,861609,120000,1034,9286
K02000001,United Kingdom,overview,2021-11-03,20919,861219,120000,1019,9433
K02000001,United Kingdom,overview,2021-11-02,8126,861339,120000,1024,9650
K02000001,United Kingdom,overview,2021-11-01,2789,861299,120000,1030,9667
K02000001,United Kingdom,overview,2021-10-31,3345,873559,120000,980,9423
K02000001,United Kingdom,overview,2021-10-30,10860,869529,120000,968,9268
K02000001,United Kingdom,overview,2021-10-29,18114,859489,120000,962,9217
K02000001,United Kingdom,overview,2021-10-28,11430,859504,120000,944,9122
K02000001,United Kingdom,overview,2021-10-27,19443,860524,120000,945,9044
K02000001,United Kingdom,overview,2021-10-26,4789,858974,120000,952,8940
K02000001,United Kingdom,overview,2021-10-25,2846,859074,120000,913,8824
K02000001,United Kingdom,overview,2021-10-24,4751,856974,120000,885,8501
K02000001,United Kingdom,overview,2021-10-23,7587,858254,120000,869,8332
K02000001,United Kingdom,overview,2021-10-22,4467,861834,120000,889,8339
K02000001,United Kingdom,overview,2021-10-21,6368,862727,120000,892,8356
K02000001,United Kingdom,overview,2021-10-20,2400,862727,120000,872,8262
K02000001,United Kingdom,overview,2021-10-19,2400,871307,120000,851,8006
K02000001,United Kingdom,overview,2021-10-18,2400,866597,120000,826,7857
K02000001,United Kingdom,overview,2021-10-17,2400,862157,120000,819,7489
K02000001,United Kingdom,overview,2021-10-16,2400,874027,120000,805,7218
K02000001,United Kingdom,overview,2021-10-15,2400,877617,120000,791,7192
K02000001,United Kingdom,overview,2021-10-14,2400,907023,120000,783,7180
K02000001,United Kingdom,overview,2021-10-13,2400,906733,120000,781,7122
K02000001,United Kingdom,overview,2021-10-12,2400,821263,120000,780,7108
K02000001,United Kingdom,overview,2021-10-11,2400,831503,120000,747,7080
K02000001,United Kingdom,overview,2021-10-10,2400,900963,120000,744,6926
K02000001,United Kingdom,overview,2021-10-09,2400,885883,120000,768,6754
K02000001,United Kingdom,overview,2021-10-08,2400,875813,120000,780,6810
K02000001,United Kingdom,overview,2021-10-07,2400,868549,120000,808,6832
K02000001,United Kingdom,overview,2021-10-06,2400,868329,120000,807,6883
K02000001,United Kingdom,overview,2021-10-05,2400,841279,120000,800,6898
K02000001,United Kingdom,overview,2021-10-04,2400,863329,120000,769,6822
K02000001,United Kingdom,overview,2021-10-03,2400,845149,120000,778,6632
K02000001,United Kingdom,overview,2021-10-02,2400,830619,120000,764,6475
K02000001,United Kingdom,overview,2021-10-01,2670,851239,120000,805,6623
K02000001,United Kingdom,overview,2021-09-30,3372,845015,120000,815,6792
K02000001,United Kingdom,overview,2021-09-29,7358,830625,120000,813,6936
K02000001,United Kingdom,overview,2021-09-28,5561,840695,120000,826,7050
K02000001,United Kingdom,overview,2021-09-27,4640,884915,120000,831,7067
K02000001,United Kingdom,overview,2021-09-26,7141,880945,120000,839,6836
K02000001,United Kingdom,overview,2021-09-25,8063,876735,120000,874,6975
K02000001,United Kingdom,overview,2021-09-24,9042,871585,120000,878,6929
K02000001,United Kingdom,overview,2021-09-23,10667,864675,120000,916,7180
K02000001,United Kingdom,overview,2021-09-22,12643,873595,120000,939,7430
K02000001,United Kingdom,overview,2021-09-21,7877,875105,120000,943,7637
K02000001,United Kingdom,overview,2021-09-20,2400,875625,120000,982,7810
K02000001,United Kingdom,overview,2021-09-19,10082,840095,120000,1006,7758
K02000001,United Kingdom,overview,2021-09-18,11197,828465,120000,1004,7706
K02000001,United Kingdom,overview,2021-09-17,10828,827315,120000,1011,7916
K02000001,United Kingdom,overview,2021-09-16,9598,820440,120000,1020,8123
K02000001,United Kingdom,overview,2021-09-15,9155,822630,120000,1081,8406
K02000001,United Kingdom,overview,2021-09-14,4933,823180,120000,1060,8400
K02000001,United Kingdom,overview,2021-09-13,5826,799250,120000,1056,8477
K02000001,United Kingdom,overview,2021-09-12,2400,771580,120000,1055,8254
