areaCode,areaName,areaType,date,newAdmissions,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,newVirusTests,plannedCapacityByPublishDate
K02000001,United Kingdom,overview,2021-11-27,,22304,31679,,
K02000001,United Kingdom,overview,2021-11-26,,19933,23149,,
K02000001,United Kingdom,overview,2021-11-25,,23579,22823,1048739,838875
K02000001,United Kingdom,overview,2021-11-24,,24579,23439,1083684,836193
K02000001,United Kingdom,overview,2021-11-23,768,26822,22002,910710,834033
K02000001,United Kingdom,overview,2021-11-22,730,23258,18517,979922,783613
K02000001,United Kingdom,overview,2021-11-21,748,16424,13892,1013013,778533
K02000001,United Kingdom,overview,2021-11-20,724,26013,24193,717721,772873
K02000001,United Kingdom,overview,2021-11-19,767,27084,21607,865460,806543
K02000001,United Kingdom,overview,2021-11-18,836,28880,20650,993405,795824
K02000001,United Kingdom,overview,2021-11-17,857,33092,22120,1043488,789044
K02000001,United Kingdom,overview,2021-11-16,892,31431,19874,807598,804824
K02000001,United Kingdom,overview,2021-11-15,833,32046,18055,916832,805134
K02000001,United Kingdom,overview,2021-11-14,804,22938,17048,918544,953104
K02000001,United Kingdom,overview,2021-11-13,772,33527,24325,667791,953034
K02000001,United Kingdom,overview,2021-11-12,881,34338,22048,830535,953074
K02000001,United Kingdom,overview,2021-11-11,956,36383,22485,980626,952881
K02000001,United Kingdom,overview,2021-11-10,977,119188,47766,1024023,949071
K02000001,United Kingdom,overview,2021-11-09,983,39836,21199,851560,948980
K02000001,United Kingdom,overview,2021-11-08,1008,33559,20361,920068,983863
K02000001,United Kingdom,overview,2021-11-07,878,25840,14610,869016,984403
K02000001,United Kingdom,overview,2021-11-06,823,36748,24500,649990,983910
K02000001,United Kingdom,overview,2021-11-05,849,43491,22633,831151,983721
K02000001,United Kingdom,overview,2021-11-04,874,43731,20482,914955,988687
K02000001,United Kingdom,overview,2021-11-03,977,41242,17965,1020990,1002138
K02000001,United Kingdom,overview,2021-11-02,1078,46663,20922,868999,989465
K02000001,United Kingdom,overview,2021-11-01,1088,37695,19214,905663,984088
K02000001,United Kingdom,overview,2021-10-31,1010,27402,13449,950858,996904
K02000001,United Kingdom,overview,2021-10-30,900,36052,25401,678413,1000389
K02000001,United Kingdom,overview,2021-10-29,1025,40967,22279,847823,997603
K02000001,United Kingdom,overview,2021-10-28,1077,44702,23723,875931,990934
K02000001,United Kingdom,overview,2021-10-27,1149,44082,21577,916286,999967
K02000001,United Kingdom,overview,2021-10-26,1111,41083,23031,802547,983763
K02000001,United Kingdom,overview,2021-10-25,1059,37809,21446,820481,981920
K02000001,United Kingdom,overview,2021-10-24,971,25747,18082,785553,981725
K02000001,United Kingdom,overview,2021-10-23,911,40092,30243,706080,985841
K02000001,United Kingdom,overview,2021-10-22,934,46250,26170,912061,986301
K02000001,United Kingdom,overview,2021-10-21,979,48732,26828,1011431,989095
K02000001,United Kingdom,overview,2021-10-20,1106,49080,26365,1103117,985127
K02000001,United Kingdom,overview,2021-10-19,1108,42902,32767,877223,993707
K02000001,United Kingdom,overview,2021-10-18,1083,39672,23579,911550,988997
K02000001,United Kingdom,overview,2021-10-17,969,17837,17265,980528,984557
K02000001,United Kingdom,overview,2021-10-16,884,28999,33483,729043,996427
K02000001,United Kingdom,overview,2021-10-15,947,40763,29432,909449,1000017
K02000001,United Kingdom,overview,2021-10-14,914,43489,27991,980883,1029423
K02000001,United Kingdom,overview,2021-10-13,924,38726,29481,1045158,1029133
K02000001,United Kingdom,overview,2021-10-12,939,36847,26946,873498,943663
K02000001,United Kingdom,overview,2021-10-11,846,29172,23632,936288,953903
K02000001,United Kingdom,overview,2021-10-10,732,22106,19451,968269,1023363
K02000001,United Kingdom,overview,2021-10-09,766,31395,33477,709073,1008283
K02000001,United Kingdom,overview,2021-10-08,786,31685,29068,917769,998213
K02000001,United Kingdom,overview,2021-10-07,820,33029,28656,962225,990949
K02000001,United Kingdom,overview,2021-10-06,780,32828,28576,1072740,990729
K02000001,United Kingdom,overview,2021-10-05,836,41347,28572,856416,963679
K02000001,United Kingdom,overview,2021-10-04,807,37671,29337,940981,985729
K02000001,United Kingdom,overview,2021-10-03,718,24123,21532,1022070,967549
K02000001,United Kingdom,overview,2021-10-02,697,31066,34391,735038,953019
K02000001,United Kingdom,overview,2021-10-01,694,38180,34289,879317,973909
K02000001,United Kingdom,overview,2021-09-30,703,34372,34459,1040967,968387
K02000001,United Kingdom,overview,2021-09-29,809,31539,34093,1115605,957983
K02000001,United Kingdom,overview,2021-09-28,778,31853,33532,861209,966256
K02000001,United Kingdom,overview,2021-09-27,783,24919,33177,1010007,1009555
K02000001,United Kingdom,overview,2021-09-26,670,15984,25539,1126440,1008086
K02000001,United Kingdom,overview,2021-09-25,675,24296,47118,786367,1004798
K02000001,United Kingdom,overview,2021-09-24,727,27617,44759,905141,1000627
K02000001,United Kingdom,overview,2021-09-23,778,25083,44588,1063394,995342
K02000001,United Kingdom,overview,2021-09-22,752,22679,44047,969173,1006238
K02000001,United Kingdom,overview,2021-09-21,803,20384,43406,895328,1002982
K02000001,United Kingdom,overview,2021-09-20,812,20150,46342,984065,998025
K02000001,United Kingdom,overview,2021-09-19,731,13840,35157,1123798,970177
K02000001,United Kingdom,overview,2021-09-18,759,26198,72497,713308,959662
K02000001,United Kingdom,overview,2021-09-17,752,20778,60384,928670,958143
K02000001,United Kingdom,overview,2021-09-16,890,23051,63973,1059522,950038
K02000001,United Kingdom,overview,2021-09-15,949,24402,63290,1084585,951785
K02000001,United Kingdom,overview,2021-09-14,949,17645,66725,882827,948113
K02000001,United Kingdom,overview,2021-09-13,942,19428,60653,1043118,925076
K02000001,United Kingdom,overview,2021-09-12,864,14955,52615,1079196,893980
K02000001,United Kingdom,overview,2021-09-11,850,27913,98059,746405,893750
K02000001,United Kingdom,overview,2021-09-10,921,26064,91811,1066296,884270
K02000001,United Kingdom,overview,2021-09-09,1035,25774,96702,1241334,884532
K02000001,United Kingdom,overview,2021-09-08,1163,25131,87960,1254874,879172
K02000001,United Kingdom,overview,2021-09-07,1104,26624,85848,1169945,809192
K02000001,United Kingdom,overview,2021-09-06,1076,22698,80015,1346631,809685
K02000001,United Kingdom,overview,2021-09-05,879,21795,73193,1038794,889815
K02000001,United Kingdom,overview,2021-09-04,952,41054,128553,757917,881215
K02000001,United Kingdom,overview,2021-09-03,927,35266,110590,1190266,870965
K02000001,United Kingdom,overview,2021-09-02,1001,40002,119375,1155929,842642
K02000001,United Kingdom,overview,2021-09-01,1082,44088,113385,1027203,840982
K02000001,United Kingdom,overview,2021-08-31,1001,39899,119402,921219,820552
K02000001,United Kingdom,overview,2021-08-30,1002,19643,66648,672479,880552
K02000001,United Kingdom,overview,2021-08-29,855,24390,79440,707374,884552
K02000001,United Kingdom,overview,2021-08-28,862,43271,133688,720342,874192
K02000001,United Kingdom,overview,2021-08-27,942,44937,131456,889605,874552
K02000001,United Kingdom,overview,2021-08-26,953,55140,144936,948488,869835
K02000001,United Kingdom,overview,2021-08-25,1035,68076,161705,923845,869835
K02000001,United Kingdom,overview,2021-08-24,999,55410,130676,748739,873651
K02000001,United Kingdom,overview,2021-08-23,968,46401,131283,741817,891251
K02000001,United Kingdom,overview,2021-08-22,832,40345,116352,679665,845311
K02000001,United Kingdom,overview,2021-08-21,873,73006,194881,647034,845011
K02000001,United Kingdom,overview,2021-08-20,870,60885,167392,763706,846131
K02000001,United Kingdom,overview,2021-08-19,946,55979,175059,822777,845498
K02000001,United Kingdom,overview,2021-08-18,911,47284,169223,808235,846268
K02000001,United Kingdom,overview,2021-08-17,967,43824,145875,728313,845168
K02000001,United Kingdom,overview,2021-08-16,871,35716,138390,699466,845328
K02000001,United Kingdom,overview,2021-08-15,807,31257,126383,674479,842428
K02000001,United Kingdom,overview,2021-08-14,789,46603,199584,655809,842368
K02000001,United Kingdom,overview,2021-08-13,789,40490,171585,824414,832248
K02000001,United Kingdom,overview,2021-08-12,859,44384,192559,813378,833019
K02000001,United Kingdom,overview,2021-08-11,849,41568,173761,842591,833003
K02000001,United Kingdom,overview,2021-08-10,892,37511,151143,748898,832503
K02000001,United Kingdom,overview,2021-08-09,758,32250,137028,725764,832593
K02000001,United Kingdom,overview,2021-08-08,744,22843,122070,689374,831143
K02000001,United Kingdom,overview,2021-08-07,729,37990,213583,661538,831193
K02000001,United Kingdom,overview,2021-08-06,780,36976,168356,792407,827143
K02000001,United Kingdom,overview,2021-08-05,815,35500,172692,825501,827173
K02000001,United Kingdom,overview,2021-08-04,835,33334,165669,845680,826293
K02000001,United Kingdom,overview,2021-08-03,764,29290,142761,720252,826173
K02000001,United Kingdom,overview,2021-08-02,787,26092,126192,724299,826360
K02000001,United Kingdom,overview,2021-08-01,740,21232,118044,670913,821413
K02000001,United Kingdom,overview,2021-07-31,675,38826,212014,676527,821413
